userId,movieId,rating,retailerId,pr
1,41,2,1,0.6
1,103,1,3,0.6
1,170,5,4,0.6
1,224,5,5,0.6
1,232,3,5,0.6
5,393,2,7,0.6
6,526,3,8,0.6
7,53,5,1,0.6
7,581,5,8,0.6
9,242,4,5,0.6
10,50,5,1,0.6
10,198,3,5,0.6
10,467,4,7,0.6
10,610,4,8,0.6
11,405,3,7,0.6
12,127,4,3,0.6
13,371,3,7,0.6
13,437,1,7,0.6
13,747,4,10,0.6
13,856,5,11,0.6
16,418,5,7,0.6
16,496,5,8,0.6
16,509,2,8,0.6
18,463,4,7,0.6
20,94,2,3,0.6
21,261,1,6,0.6
21,379,3,7,0.6
22,227,4,5,0.6
22,692,4,10,0.6
23,13,4,1,0.6
23,219,1,5,0.6
23,856,4,11,0.6
28,288,5,6,0.6
33,300,4,6,0.6
35,333,4,6,0.6
38,105,3,3,0.6
38,112,5,3,0.6
38,218,3,5,0.6
43,100,4,3,0.6
43,347,3,6,0.6
44,55,4,1,0.6
44,157,4,4,0.6
44,194,5,5,0.6
44,717,3,10,0.6
48,529,4,8,0.6
48,654,5,9,0.6
48,1063,3,14,0.6
49,151,5,4,0.6
49,173,3,4,0.6
53,7,3,1,0.6
54,291,1,6,0.6
54,340,4,6,0.6
56,87,4,2,0.6
56,184,4,5,0.6
56,862,3,11,0.6
58,311,4,6,0.6
58,1084,4,14,0.6
59,42,5,1,0.6
59,177,4,5,0.6
59,519,4,8,0.6
59,931,2,11,0.6
60,15,4,1,0.6
60,420,4,7,0.6
60,514,4,8,0.6
62,181,4,5,0.6
63,924,3,11,0.6
64,143,4,4,0.6
64,241,3,5,0.6
65,69,3,2,0.6
66,9,4,1,0.6
68,275,5,6,0.6
70,1146,3,15,0.6
72,172,1,4,0.6
72,479,4,7,0.6
74,13,4,1,0.6
75,151,5,4,0.6
75,225,2,5,0.6
75,926,3,11,0.6
77,250,3,5,0.6
78,294,3,6,0.6
80,213,3,5,0.6
82,539,3,8,0.6
83,406,2,7,0.6
83,409,4,7,0.6
83,1049,3,13,0.6
83,1060,3,13,0.6
85,425,4,7,0.6
85,610,3,8,0.6
85,647,4,9,0.6
87,167,4,4,0.6
87,423,3,7,0.6
87,523,5,8,0.6
87,1185,4,15,0.6
89,716,3,10,0.6
90,213,5,5,0.6
90,245,3,5,0.6
90,478,5,7,0.6
90,904,3,11,0.6
90,1125,4,14,0.6
91,327,4,6,0.6
91,526,4,8,0.6
92,240,2,5,0.6
92,974,2,11,0.6
94,25,3,1,0.6
94,537,4,8,0.6
94,631,5,8,0.6
94,674,3,10,0.6
94,738,2,10,0.6
94,1147,4,15,0.6
95,232,4,5,0.6
