userId,movieId,rating,retailerId,pr
1,272,3,6,0.6
1,271,2,6,0.6
1,270,5,6,0.6
1,269,5,6,0.6
1,268,5,6,0.6
1,267,4,6,0.6
1,266,1,6,0.6
1,264,2,6,0.6
1,263,1,6,0.6
1,262,3,6,0.6
1,261,1,6,0.6
1,260,1,6,0.6
1,259,1,6,0.6
1,258,5,6,0.6
1,257,4,6,0.6
1,256,4,5,0.6
1,255,2,5,0.6
1,254,1,5,0.6
1,253,5,5,0.6
1,252,2,5,0.6
1,251,4,5,0.6
1,250,4,5,0.6
1,249,4,5,0.6
1,248,4,5,0.6
1,247,1,5,0.6
1,246,5,5,0.6
1,245,2,5,0.6
1,244,2,5,0.6
1,243,1,5,0.6
1,242,5,5,0.6
1,241,4,5,0.6
1,240,3,5,0.6
1,239,4,5,0.6
1,238,4,5,0.6
1,237,2,5,0.6
1,236,4,5,0.6
1,235,5,5,0.6
1,234,4,5,0.6
1,233,2,5,0.6
1,232,3,5,0.6
1,231,1,5,0.6
1,230,4,5,0.6
1,229,4,5,0.6
1,228,5,5,0.6
1,227,4,5,0.6
1,226,3,5,0.6
1,225,2,5,0.6
1,224,5,5,0.6
1,223,5,5,0.6
1,222,4,5,0.6
1,221,5,5,0.6
1,220,3,5,0.6
1,219,1,5,0.6
1,218,3,5,0.6
1,217,3,5,0.6
1,216,5,5,0.6
1,215,3,5,0.6
1,214,4,5,0.6
1,213,2,5,0.6
1,212,4,5,0.6
1,211,3,5,0.6
1,210,4,5,0.6
1,209,4,5,0.6
1,208,5,5,0.6
1,207,5,5,0.6
1,206,4,5,0.6
1,205,3,5,0.6
1,204,5,5,0.6
1,203,4,5,0.6
1,201,3,5,0.6
1,200,3,5,0.6
1,199,4,5,0.6
1,198,5,5,0.6
1,197,5,5,0.6
1,196,5,5,0.6
1,195,5,5,0.6
1,194,4,5,0.6
1,193,4,5,0.6
1,192,4,5,0.6
1,191,5,5,0.6
1,190,5,5,0.6
1,188,3,5,0.6
1,187,4,5,0.6
1,186,4,5,0.6
1,185,4,5,0.6
1,184,4,5,0.6
1,183,5,5,0.6
1,182,4,5,0.6
1,181,5,5,0.6
1,180,3,5,0.6
1,179,3,5,0.6
1,178,5,5,0.6
1,177,5,5,0.6
1,176,5,4,0.6
1,175,5,4,0.6
1,174,5,4,0.6
1,173,5,4,0.6
1,172,5,4,0.6
1,170,5,4,0.6
1,169,5,4,0.6
1,168,5,4,0.6
1,167,2,4,0.6
1,166,5,4,0.6
1,165,5,4,0.6
1,164,3,4,0.6
1,163,4,4,0.6
1,162,4,4,0.6
1,161,4,4,0.6
1,159,3,4,0.6
1,158,3,4,0.6
1,157,4,4,0.6
1,156,4,4,0.6
1,154,5,4,0.6
1,153,3,4,0.6
1,152,5,4,0.6
1,151,4,4,0.6
1,150,5,4,0.6
1,149,2,4,0.6
1,148,2,4,0.6
1,147,3,4,0.6
1,146,4,4,0.6
1,145,2,4,0.6
1,144,4,4,0.6
1,143,1,4,0.6
1,142,2,4,0.6
1,141,3,4,0.6
1,140,1,4,0.6
1,139,3,4,0.6
1,138,1,4,0.6
1,137,5,4,0.6
1,136,3,4,0.6
1,135,4,4,0.6
1,134,4,4,0.6
1,133,4,4,0.6
1,132,4,4,0.6
1,131,1,4,0.6
1,130,3,4,0.6
1,129,5,4,0.6
1,128,4,4,0.6
1,127,5,3,0.6
1,126,2,3,0.6
